centroideY;centroideX;nome
-21.140301183817364;-43.71141566368098;Alfredo Vasconcelos - MG
-27.705802515976348;-49.33122221056042;Alfredo Wagner - SC
-6.886662577199308;-35.97120063786024;Algodão de Jandaíra - PB
-7.349061248684918;-34.933325530820476;Alhandra - PB
-7.603035712101978;-35.1929372799999;Aliança - PE
-11.332225453061026;-48.90856194395558;Aliança do Tocantins - TO
-14.701558012723307;-39.6628517602299;Almadina - BA
-11.429475123951446;-47.20937029362475;Almas - TO
0.28438874238547335;-53.893485381837436;Almeirim - PA
-16.091110932249173;-40.72072413454915;Almenara - MG
-6.15444172754666;-37.76266336792127;Almino Afonso - RN
-25.29639735924505;-49.3235536947412;Almirante Tamandaré - PR
-28.13073189365986;-52.907400509784345;Almirante Tamandaré do Sul - RS
-17.69344892984692;-49.46503659553899;Aloândia - GO
-18.984332735968053;-42.01917206423039;Alpercata - MG
-27.216301030544926;-53.06366232533317;Alpestre - RS
-20.860645818963686;-46.37601314301951;Alpinópolis - MG
-10.05544323688755;-56.36653194933416;Alta Floresta - MT
-12.470044841210887;-62.274573947812925;Alta Floresta d 'Oeste - RO
-20.532934558245472;-49.093978743862436;Altair - SP
-6.482676893226977;-53.88504734601093;Altamira - PA
-4.117773718838813;-45.503330475089406;Altamira do Maranhão - MA
-24.81370390931779;-52.69152853143259;Altamira do Paraná - PR
-6.986110274954968;-39.69913490284042;Altaneira - CE
-21.226400746796262;-46.15327753780318;Alterosa - MG
-8.490165321700033;-36.09770606267792;Altinho - PE
-21.0176443169564;-47.38624047256175;Altinópolis - SP
-28.8046834206461;-52.98894509705358;Alto Alegre - RS
-21.61250166808335;-50.19189760997321;Alto Alegre - SP
3.0781534160233512;-62.75535501094905;Alto Alegre - RR
-4.216356795047946;-44.38915929666442;Alto Alegre do Maranhão - MA
-3.8805000755798797;-46.007706700021984;Alto Alegre do Pindaré - MA
-12.593563300349818;-61.88082013385824;Alto Alegre dos Parecis - RO
-17.445014362633266;-53.46924448953457;Alto Araguaia - MT
-27.422068736466564;-51.92454482002888;Alto Bela Vista - SC
-11.81075142266581;-51.75006250879229;Alto Boa Vista - MT
-20.458886341222414;-41.86533799069804;Alto Caparaó - MG
-5.362197066488045;-36.72351072331944;Alto do Rodrigues - RN
-29.363023238827324;-51.305262036807946;Alto Feliz - RS
-16.888248689434644;-53.59026410977563;Alto Garças - MT
-14.171551590336337;-49.42893827550698;Alto Horizonte - GO
-20.437790800256625;-41.948865848368854;Alto Jequitibá - MG
-5.388419853992126;-42.158166897981154;Alto Longá - PI
-23.90253072759506;-53.949089222317895;Altônia - PR
-14.74906404835161;-56.63790855531465;Alto Paraguai - MT
-9.649432829175634;-63.394273032136034;Alto Paraíso - RO
-14.18304997530266;-47.5352065927207;Alto Paraíso de Goiás - GO
-23.076350565117707;-52.32337237825776;Alto Paraná - PR
-9.50830479399882;-46.21299594796125;Alto Parnaíba - MA
-24.098439343487012;-53.401966202211675;Alto Piquiri - PR
-21.036246233397254;-43.404193370279266;Alto Rio Doce - MG
-19.021518902383942;-40.987045867983916;Alto Rio Novo - ES
-5.014540658108261;-42.469174586077095;Altos - PI
-5.517534985687245;-38.200376186294015;Alto Santo - CE
-17.82818942560707;-53.29453143386278;Alto Taquari - MT
-23.53271545786428;-47.28107589243435;Alumínio - SP
-3.701111902857488;-65.33078306624726;Alvarães - AM
-19.396971157155797;-41.67677071682113;Alvarenga - MG
-20.28964057770484;-49.92069056652958;Álvares Florence - SP
-22.131173891939305;-51.51472122272488;Álvares Machado - SP
-22.086022366481632;-49.733844788503376;Álvaro de Carvalho - SP
-22.451987282685003;-49.75853394103323;Alvinlândia - SP
-20.11206179136052;-43.15316761277083;Alvinópolis - MG
-12.408656774326156;-49.11315770683499;Alvorada - TO
-29.994893758600455;-51.03700874928074;Alvorada - RS
-18.779236936400164;-43.36854503150334;Alvorada de Minas - MG
-11.311446810762298;-62.544852852331985;Alvorada d 'Oeste - RO
-8.456010876041994;-43.968296886901825;Alvorada do Gurguéia - PI
-14.56647552281665;-46.63153032325367;Alvorada do Norte - GO
-22.810568130882576;-51.25491692235875;Alvorada do Sul - PR
3.7328441499643357;-62.436973519339716;Amajari - RR
-23.15775110006851;-54.96771047552282;Amambaí - MS
1.764024874495414;-50.581402584727165;Amapá - AP
-1.6896547747405601;-45.96229590440235;Amapá do Maranhão - MA
-23.128650683532282;-52.834630435035535;Amaporã - PR
-8.36533167973208;-35.46544899805765;Amaraji - PE
-30.81063101294603;-52.31723727584326;Amaral Ferrador - RS
-13.842168526289775;-49.598064889236376;Amaralina - GO
-6.338724281146114;-42.795937517853076;Amarante - PI
-5.28553043152739;-46.57296768504293;Amarante do Maranhão - MA
-13.037750622765584;-39.63434896758506;Amargosa - BA
-3.4183928988621126;-68.28781810662956;Amaturá - AM
-12.418320420847966;-38.72003032487988;Amélia Rodrigues - BA
-11.433191031603107;-41.541840730639024;América Dourada - BA
-22.72317640535823;-47.28889201596487;Americana - SP
-16.26112018441274;-50.00187580571378;Americano do Brasil - GO
-21.721784480226777;-48.03248271320252;Américo Brasiliense - SP
-20.289490553666838;-49.7683433297528;Américo de Campos - SP
-27.365257595858658;-53.19282968480834;Ametista do Sul - RS
-3.239825928334007;-39.785720946143805;Amontada - CE
-16.62656005569625;-51.10698444690354;Amorinópolis - GO
-7.56093106293516;-37.038057252753326;Amparo - PB
-22.69848637462373;-46.79828667785239;Amparo - SP
-10.165978365688801;-36.92162196333085;Amparo de São Francisco - SE
-20.529648153725276;-42.80331414626561;Amparo do Serra - MG
-25.916454260219776;-53.48334089702949;Ampére - PR
-9.66363543187134;-36.312633195108816;Anadia - AL
